"Id","Approx.Acc.","Approx.RT","prop.score","Shape","Mod.Acc.","Mod.RT","VSWM"
"59",0.83,1.24729648241206,0.277910052910053,1530,0.6875,1.72035792692311,-0.987714332724593
"6",0.825,1.0504,0.644973544973545,3115,0.8125,3.31750555203814,1.4539961223844
"60",0.79,1.26713636363636,0.35542328042328,1015,0.7125,2.27679365432678,-1.27549361906918
"61",0.795,1.114555,0.142724867724868,1220,0.5875,0.758167466253287,-1.62814915540611
"62",0.83,1.22459798994975,0.390740740740741,2220,0.8375,4.1749476220371,-0.0454242550549975
"63",0.87,1.01745,0.756613756613757,2950,0.8625,7.17109163347727,1.58482418985172
"64",0.495,1.0588,0.358201058201058,1265,0.5,1.40878343208444,-1.03198146686776
"65",0.83,0.96551256281407,0.849206349206349,1685,0.675,1.89876441255139,0.626662385263314
"66",0.765,0.97862,0.320634920634921,940,0.4875,0.59807299181252,-1.43578746799019
"67",0.815,1.03148743718593,0.583068783068783,1555,0.5125,1.02157527895005,-0.180036493058282
"68",0.81,1.31474489795918,0.696031746031746,1830,0.9125,4.90441818374738,0.370210531898234
"69",0.875,0.919595,0.448941798941799,1780,0.7625,2.41577303488406,-0.311909470949864
"7",0.73,1.23820100502513,0.692328042328042,2010,0.825,4.48565877971663,0.530884830510927
"70",0.875,1.45033668341709,0.793121693121693,1670,0.9125,3.80033447975925,0.468382300749922
"71",0.85,0.945875,0.814417989417989,1370,0.7375,1.62541781648751,0.239448301852365
"72",0.85,1.321665,0.548412698412698,2050,0.725,3.02424694107488,0.198945067693397
"73",0.885,1.05113265306122,0.614550264550265,2285,0.65,1.87893834034596,0.591064176847382
"74",0.845,0.96968,0.606084656084656,2030,0.875,5.96027269555971,0.328210851119522
"75",0.745,1.065335,0.388888888888889,1780,0.5875,1.91476463598881,-0.46620262358059
"76",0.825,1.13125125628141,0.748677248677249,2015,0.775,4.16219099905911,0.680389610772102
"77",0.82,1.51744221105528,0.278835978835979,1780,0.55,0.944772302258475,-0.748960119150555
"78",0.81,1.08489,0.541534391534392,2295,0.7,1.73801428414087,0.412920463595416
"79",0.795,0.9175,0.415343915343915,1570,0.8125,2.13145976300155,-0.596787276939579
"8",0.735,0.873311557788945,0.789814814814815,2345,0.8875,3.89943886147735,1.0980991412754
"80",0.87,1.078165,0.686111111111111,2560,0.8875,5.4172467868589,1.03493728820606
"81",0.785,1.36201,0.632539682539683,1350,0.75,3.63934277103299,-0.246759261448922
"82",0.85,0.934615,0.750925925925926,1970,0.8625,2.1826899745975,0.643619563709914
"83",0.815,0.86197,0.726190476190476,2190,0.8,2.25922190450598,0.788077312707598
"84",0.83,1.11733668341709,0.317195767195767,1530,0.3375,1.60534344391886,-0.886778063272334
"85",0.81,0.82735175879397,0.847883597883598,1950,0.7375,3.57601313375388,0.873821616588298
"86",0.84,0.876396984924623,0.435582010582011,1150,0.6625,2.02552714532691,-0.941900215154892
"87",0.835,1.27730150753769,0.699206349206349,1810,0.6875,1.59763965488345,0.359456978575771
"88",0.78,1.03890452261307,0.83994708994709,2225,0.7375,1.78993751825714,1.11344321972877
"89",0.81,1.219185,0.59537037037037,1835,0.7875,1.36821879508745,0.11631008710947
"9",0.835,1.344285,0.703703703703704,2535,0.7875,3.911937435427,1.05650018074013
"90",0.775,0.831959798994975,0.926322751322751,2310,0.9375,3.80386461446118,1.41573465446862
"91",0.82,1.01808121827411,0.586640211640212,1600,0.7375,2.38753975010947,-0.128312924595759
"92",0.745,1.06310050251256,0.631216931216931,2470,0.8375,3.43795614211533,0.808803305246453
"93",0.765,1.156855,0.394179894179894,1870,0.85,6.08687698196075,-0.367513425282924
"94",0.6,1.1257135678392,0.493386243386243,1495,0.6625,1.47237603216042,-0.467186722349559
"95",0.835,0.918241206030151,0.452645502645503,1910,0.5,0.654632441863813,-0.179478466679724
"96",0.8,1.09516666666667,0.300925925925926,2050,0.5,1.16462787600326,-0.436919444579927
"97",0.82,1.40515577889447,0.496031746031746,1325,0.8125,6.4321298276375,-0.621124833264626
"98",0.79,0.915785,0.333597883597884,1730,0.525,1.24383049761801,-0.655536125735839
"99",0.895,0.815560606060606,0.957671957671958,1610,0.85,4.35717664702856,0.834429074445993
